bulletin_date,1st,2A*,2B,2nd,3rd,4rd,4th,5th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Targeted Employment Areas/ Regional Centers and Pilot Programs,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers,Targeted Employment Areas/Regional Centers
2018-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-10-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-11-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-12-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-01-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-02-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-03-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-04-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-05-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-06-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-07-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-08-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-09-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-10-01,2019-07-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-11-01,2019-07-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-01-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-02-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-03-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-04-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-05-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-06-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-07-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-08-01,CURRENT,,,CURRENT,2020-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2020-04-01,
2020-09-01,CURRENT,,,CURRENT,2020-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2020-04-01,
2020-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2022-09-08,
2022-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2022-09-08,
2022-12-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2022-09-08,
2023-01-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2022-09-08,
2023-02-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2020-02-01,
2023-03-01,CURRENT,,,2022-12-01,CURRENT,,2022-03-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-03-01,2020-02-01,
2023-04-01,CURRENT,,,2022-12-01,CURRENT,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-05-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-06-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-07-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-08-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-06-01,
2023-09-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-06-01,
2023-10-01,CURRENT,,,2022-07-08,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-08-01,
2023-11-01,CURRENT,,,2022-07-15,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-01-01,2020-08-01,
2023-12-01,CURRENT,,,2022-07-15,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-08-01,
2024-01-01,CURRENT,,,2022-11-01,2022-08-01,,2019-05-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-05-15,2020-09-01,
2024-02-01,CURRENT,,,2022-11-15,2022-09-01,,2019-05-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-05-15,2020-09-01,
2024-03-01,CURRENT,,,2022-11-22,2022-09-08,,2019-12-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-12-01,2020-09-08,
2024-04-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-10-08,
2024-05-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-11-01,2020-10-08,
2024-06-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-11-01,2020-10-08,
2024-07-01,CURRENT,,,2023-03-15,2021-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-01-01,
2024-08-01,CURRENT,,,2023-03-15,2021-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-01-01,
2024-09-01,CURRENT,,,2023-03-15,2020-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2024-10-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-12-01,
2024-11-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2024-12-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2025-01-01,CURRENT,,,2023-04-01,2022-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-12-08,
2025-02-01,CURRENT,,,2023-04-01,2022-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-08,
2025-03-01,CURRENT,,,2023-05-15,2022-12-01,,2019-08-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-08-01,2021-02-01,
2025-04-01,CURRENT,,,2023-06-22,2023-01-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-05-22,
2025-05-01,CURRENT,,,2023-06-22,2023-01-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-05-22,
2025-06-01,CURRENT,,,2023-10-15,2023-02-08,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-06-22,
2025-07-01,CURRENT,,,2023-10-15,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-08-01,CURRENT,,,2023-09-01,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-09-01,CURRENT,,,2023-09-01,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-10-01,CURRENT,,,2023-12-01,2023-04-01,,2020-07-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-15,
2025-11-01,CURRENT,,,2023-12-01,2023-04-01,,2020-07-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-15,
2025-12-01,CURRENT,,,2024-02-01,2023-04-15,,2020-09-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-09-01,2021-08-01,
2026-01-01,CURRENT,,,2024-04-01,2023-04-22,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-09-01,
2026-02-01,CURRENT,,,2024-04-01,2023-06-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-09-01,
2026-03-01,CURRENT,,,2024-10-15,2023-10-01,,2021-07-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-07-15,2021-11-01,
